"PolygonID","MRGID","GeoName","MRGID_Ter1","Territory1","Sovereign1","ISO_Ter1","Area_km2","Nospecies","CR","EN","VU","rest"
250,8341,"Ile Europa Exclusive Economic Zone",8612,"Europa Island","France","ATF",127945.997412,31,0,2,12,17
252,8368,"Disputed area Western Saharan Exclusive Economic Zone",8617,"Western Sahara","Western Sahara","ESH",284066.375395,112,5,7,21,79
253,8461,"Surinamese Exclusive Economic Zone",2182,"Suriname","Suriname","SUR",133316.418383,74,3,2,13,56
254,48948,"Disputed area Matthew and Hunter Islands: New Caledonia / Vanuatu",2261,"New Caledonia","France","NCL",187985.096385,20,0,0,9,11
255,5687,"Polish Exclusive Economic Zone",2244,"Poland","Poland","POL",29970.7399095,4,0,0,2,2
256,8462,"French Guiana Exclusive Economic Zone",8683,"French Guiana","France","GUF",131542.056553,69,3,2,12,52
257,8477,"Democratic Republic of the Congo Exclusive Economic Zone",2198,"Democratic Republic of the Congo","Democratic Republic of the Congo","COD",13360.665776,61,3,4,15,39
258,8476,"Gabonese Exclusive Economic Zone",2104,"Gabon","Gabon","GAB",201753.746636,89,4,8,19,58
259,8480,"Indian Exclusive Economic Zone",2128,"India","India","IND",1659486.57465,122,4,8,34,76
260,8432,"Peruvian Exclusive Economic Zone",2257,"Peru","Peru","PER",855322.284264,81,1,3,15,62
130,26582,"Disputed area: Sudan / Egypt",2183,"Sudan","Sudan","SDN",19733.5118706,53,1,4,22,26
165,8393,"Beninese Exclusive Economic Zone",2139,"Benin","Benin","BEN",35528.368644,83,4,7,18,54
234,5692,"Slovenian Exclusive Economic Zone",2188,"Slovenia","Slovenia","SVN",149.46070435,0,0,0,0,0
261,22756,"Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands)",25135,"Isla San Felix and San Ambrosio","Chile","CHL",450960.402638,13,0,0,5,8
262,21787,"Chilean Exclusive Economic Zone (Easter Island)",15120,"Easter Island","Chile","CHL",729763.366364,12,0,0,6,6
263,48982,"Disputed area: Puerto Rico / Dominican Republic",8641,"Puerto Rico","United States","PRI",18298.6504434,27,0,1,9,17
76,8452,"Johnston Atoll Exclusive Economic Zone",8678,"Johnston Atoll","United States","UMI",442442.946973,22,0,0,11,11
19,8323,"Australian Exclusive Economic Zone",2147,"Australia","Australia","AUS",6870741.53364,327,4,11,46,266
264,8311,"Australian Exclusive Economic Zone (Macquarie Island)",8592,"Macquarie Island","Australia","AUS",475737.98177,6,0,0,3,3
265,8339,"Juan de Nova Exclusive Economic Zone",8610,"Juan de Nova Island","France","ATF",62770.4657039,47,0,1,19,27
266,8340,"Bassas da India Exclusive Economic Zone",31136,"Bassas da India","France","ATF",120689.515135,29,0,2,12,15
205,8464,"Brazilian Exclusive Economic Zone",2143,"Brazil","Brazil","BRA",3205100.30771,146,5,8,34,99
267,8381,"Brazilian Exclusive Economic Zone (Trindade)",8622,"Trindade","Brazil","BRA",472480.840469,16,0,0,8,8
221,8456,"United States Exclusive Economic Zone",2204,"United States","United States","USA",2451978.73855,195,3,5,21,166
268,8463,"United States Exclusive Economic Zone (Alaska)",8684,"Alaska","United States","USA",3682949.91893,30,0,0,5,25
