"ScientificName","FBname","order_name","family_nam","DemersPelag","code","Vulnerability","Resilience","Length","LongevityWild","web_redlist","web_fishbase","CommonName","MarkRecapt_tags","MarkRecapt_mean","MarkRecapt_sd","passive_tags","passive_mean","passive_sd","satellite_tags","satellite_mean","satellite_sd"
"Mustelus lenticulatus","Spotted estuary smooth-hound","Carcharhiniformes","Triakidae","demersal","LC",76.53,"Very low",125,NA,"http://www.iucnredlist.org/details/classify/39356/0","http://www.fishbase.org/summary/Mustelus-lenticulatus.html","mango, Gummy shark, Rig, Smooth-hound, Spotted dogfish, Spotted estuary rig, Spotted estuary smooth hound, Spotted smoothhound, spotted estuary smooth-hound, Musola manchada, mango, Kapeta, Manga, Pioke, Brakwatertoonhaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustelus lunulatus","Sicklefin smooth-hound","Carcharhiniformes","Triakidae","demersal","LC",79.15,"Low",175,NA,"http://www.iucnredlist.org/details/classify/161640/0","http://www.fishbase.org/summary/Mustelus-lunulatus.html","Seglfinnet glathaj, Sicklefin smooth-hound, Sicklefin smooth hound, Smoothhound, Tollo, sicklefin smoothhound, Tollo, Musola segadora, Tollo mamon, Vieja, Mustelus lunulatus, Emissole mamon, Sikkelvintoonhaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustelus manazo","Starspotted smooth-hound","Carcharhiniformes","Triakidae","demersal","DD",70.73,"Very low",220,10,"http://www.iucnredlist.org/details/classify/161633/0","http://www.fishbase.org/summary/Mustelus-manazo.html","Stjerneplettet glathaj, Spotted shark, Gummy dogfish, Gummy shark, Hound shark, Japanese smooth hound, Star-spotted gummy shark, Star-spotted shark, Star-spotted smooth hound, Starsoptted smooth-hound, starspotted smooth-hound, topes, Musola celestial, Hoshizame, Pyol-sang-o, Kajari magar, Yu jaras, Yu-jaras bintik, Stervlektoonhaai, Caneja, Sobach'ya, Mangra, Pal sorrah",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustelus mento","Speckled smooth-hound","Carcharhiniformes","Triakidae","demersal","NT",68.98,"Very low",130,NA,"http://www.iucnredlist.org/details/classify/63128/0","http://www.fishbase.org/summary/Mustelus-mento.html","smooth hound, Smoothhound, Speckled smooth hound, Speckled smoothhound, Tollo, Tollo con fajas, speckled smooth-hound, Tollo, Musola fina, Piruche, Tollo blanco, Tollo con bandas, Tollo fino, Mustelus mento, Emissole fine, Gespikkelde toonhaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustelus minicanis",NA,"Carcharhiniformes","Triakidae","benthopelagic","DD",37.76,"Low",47.8,NA,"http://www.iucnredlist.org/details/classify/60205/0","http://www.fishbase.org/summary/Mustelus-minicanis.html","Dwarf smoothhound, Venezuelan dwarf smoothhound, Mammon enano, Toyo, Dwergtoonhaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustelus mosis","Arabian smooth-hound","Carcharhiniformes","Triakidae","demersal","DD",74.09,"Very low",150,NA,"http://www.iucnredlist.org/details/classify/161480/0","http://www.fishbase.org/summary/Mustelus-mosis.html","Hardeneus-hondhaai, Jarjur, Qersh, Arabisk glathaj, Arabian smooth-hound, Arabian smooth hound, Arabian smoothhound, Gummy shark, Gummy smooth hound, Hardnose smooth hound, Hardnose smoothhound, Hardnosed smooth-hound, Hound shark, Moses smooth hound, Moses smooth-hound, Moses smoothhound, Mustelus mosis, Emissole d'Arabie, Kajari-mager, Yu jaras, Yu-jaras Arab, Arabische toonhaai, Pal-sorrah, Chalarm Noo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustelus mustelus","Smooth-hound","Carcharhiniformes","Triakidae","demersal","VU",73.58,"Very low",200,24,"http://www.iucnredlist.org/details/classify/39358/0","http://www.fishbase.org/summary/Mustelus-mustelus.html","Hondhaai, Spierhaai, Girsh, Kalb il bahr, Qarsh Amlas, Taess, Tolla, matel, virli, Mussola vera, Nuciolu, morgi serennog, Glathaj, Almindelig glathaj, Glatthai, Hundshai, Glatthai, Grauer Glatthai, Mittelmeer-glatthai, Drossitis, Galeos, Griso galeos, Grizogaleos, Smooth-hound, Common smoothhound, Gray mouth dog, Houndshark, Smoothhound, Stellate smooth-hound, Tollo, cacao, smooth dogfish, smooth hound, sweet william, Tollo, Boca blanca, Jaqueta, Musola, Musola gavatia, Musola pintada, Musola vera, Pique, Silokoirahai, Emissole, Chien de mer, Emissole lisse, Gat roumillon, Lentillat, Missole, Moutelle commune, Palloun, Kerishon, Kerishou, Krishon nakad, Pas pena, Gluhak, Pena, Cane, Cagneto, Cagnoleto, Cagnoletto, Cialestru, Gattone, Mussola, Nisseua, Nissoa, Nocciolo, Palombo, Palombo comune, Palombo liscio, Palombo nocciolo, Palumme, Palumme verace, Palummu, Penn, Penne, Stire, can, Zaghrun, Mazzola, Mazzola bla xewka, Mazzola tat-tbajja, Zandhaai, Gladde haai, Toonhaai, Glatthai, Mustel siwy a. siwosz, Galhudo, Caneja, Caneja-lisa, Corre-costa, cachuco, Mustel, navadni morski pes, Palomb, Peshk pellumb, palombi, Pas cukov, Pas glusac, Pas mekus, Glatthaj, Sydlig hundhaj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustelus norrisi","Narrowfin smooth-hound","Carcharhiniformes","Triakidae","demersal","DD",61.47,"Very low",110,NA,"http://www.iucnredlist.org/details/classify/161518/0","http://www.fishbase.org/summary/Mustelus-norrisi.html","Florida-glathaj, Florida smoothhound, Florida smooth hound, Florida smooth-hound, Narrowfin smooth hound, Viuda, narrowfin smooth-hound, Viuda, Boca dulce, Musola viuda, Vilma, Viuda virma, Mustelus norrisi, Emissole veuve, Floridatoonhaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustelus palumbes","Whitespotted smooth-hound","Carcharhiniformes","Triakidae","demersal","DD",65.4,"Very low",120,NA,"http://www.iucnredlist.org/details/classify/60247/0","http://www.fishbase.org/summary/Mustelus-palumbes.html","Witkol-hondhaai, Witkol-houndhaai, Hvidplettet glathaj, Smoothound, Whitespot smoothhound, Whitespotted smooth hound, whitespotted smooth-hound, Musola, Musola paloma, Mustelus palumbes, Emissole palombe, Witvlektoonhaai",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustelus punctulatus","Blackspotted smooth-hound","Carcharhiniformes","Triakidae","demersal","DD",54.05,"Low",190,NA,"http://www.iucnredlist.org/details/classify/161485/0","http://www.fishbase.org/summary/Mustelus-punctulatus.html","Mussola tacada, Sortplettet glathaj, Gepunkteter Glatthai, Schwarzpunkt-Glatthai, Drossitis, Galeos, Stiktogaleos, Blackspot smooth hound, Black spotted smooth hound, Blackspotted Smoothhound, blackspotted smooth-hound, Musola pimienta, Musola punteada, Pilkkukoirahai, Pilkkuhai, Emissole pointillee, Pena, Gluhak, Palombo punteggiato, Zwartvlektoonhaai, Pas",NA,NA,NA,NA,NA,NA,NA,NA,NA
