"binomial","OBJECTID","Shape_Leng","Shape_Area","area","order_name","family_nam","code"
"Trygonoptera mucosa","1028",101.935972725,11.2834386575,116110,"RAJIFORMES","UROLOPHIDAE","LC"
"Trygonoptera ovalis","1029",53.5307361075,7.38768532983,76506.7,"RAJIFORMES","UROLOPHIDAE","LC"
"Trygonoptera personata","1030",33.5394463057,4.04584588389,43977,"RAJIFORMES","UROLOPHIDAE","LC"
"Trygonoptera testacea","1031",55.6100236938,4.78090094756,49873.4,"RAJIFORMES","UROLOPHIDAE","LC"
"Trygonorrhina dumerilli","1032",161.745945617,82.7326375454,829072,"RAJIFORMES","RHINOBATIDAE","LC"
"Trygonorrhina fasciata","1033",54.1403664273,11.1267585808,115864,"RAJIFORMES","RHINOBATIDAE","LC"
"Typhlonarke aysoni","1034",27.4921955336,6.26151563444,55042,"RAJIFORMES","NARKIDAE","DD"
"Typhlonarke tarakea","1035",3.19386987301,0.461776591344,4271.98,"RAJIFORMES","NARKIDAE","DD"
"Urobatis concentricus","1036",134.301784428,11.3521957281,127401,"RAJIFORMES","UROTRYGONIDAE","DD"
"Urobatis halleri","1037",260.577973303,85.9811526434,968786,"RAJIFORMES","UROTRYGONIDAE","LC"
"Urobatis jamaicensis","1038",679.156629409,255.224163238,2941010,"RAJIFORMES","UROTRYGONIDAE","LC"
"Urobatis maculatus","1039",110.421562927,8.66927945192,95619.2,"RAJIFORMES","UROTRYGONIDAE","DD"
"Urobatis marmoratus","1040",2.88022818118,0.323634787154,3369.21,"RAJIFORMES","UROTRYGONIDAE","DD"
"Urobatis tumbesensis","1041",16.7194719005,0.960789387938,11814.2,"RAJIFORMES","UROTRYGONIDAE","DD"
"Urogymnus asperrimus","1042",2870.92807432,653.895638606,7866310,"RAJIFORMES","DASYATIDAE","VU"
"Urogymnus ukpam","1043",155.807792466,33.8476815718,414927,"RAJIFORMES","DASYATIDAE","EN"
"Urolophus armatus","1044",23.1637138988,2.18857229516,26892.5,"RAJIFORMES","UROLOPHIDAE","DD"
"Urolophus aurantiacus","1045",83.2338235199,17.841553072,189462,"RAJIFORMES","UROLOPHIDAE","NT"
"Urolophus bucculentus","1046",82.3936568896,14.8568589786,142856,"RAJIFORMES","UROLOPHIDAE","VU"
"Urolophus circularis","1047",27.8198585995,4.47065534577,45616.5,"RAJIFORMES","UROLOPHIDAE","LC"
"Urolophus cruciatus","1048",102.088869492,11.7811206905,111092,"RAJIFORMES","UROLOPHIDAE","LC"
"Urolophus deforgesi","1049",14.182640445,3.20142166362,37222,"RAJIFORMES","UROLOPHIDAE","LC"
"Urolophus expansus","1050",54.3305300384,19.5487409064,200628,"RAJIFORMES","UROLOPHIDAE","LC"
"Urolophus flavomosaicus","1051",63.7904209714,20.1254974458,229254,"RAJIFORMES","UROLOPHIDAE","LC"
"Urolophus gigas","1052",142.730435295,14.8875621033,149290,"RAJIFORMES","UROLOPHIDAE","LC"
"Urolophus javanicus","1053",5.39505229884,0.798534120835,9779.3,"RAJIFORMES","UROLOPHIDAE","CR"
"Urolophus kaianus","1054",10.6591213446,1.0063027984,12327.4,"RAJIFORMES","UROLOPHIDAE","DD"
"Urolophus kapalensis","1055",14.2933630882,1.62466302166,16969.7,"RAJIFORMES","UROLOPHIDAE","NT"
"Urolophus lobatus","1056",26.5830444889,1.77666893892,18153,"RAJIFORMES","UROLOPHIDAE","LC"
"Urolophus mitosis","1057",1.98832181351,0.242225261965,2811.73,"RAJIFORMES","UROLOPHIDAE","LC"
