"GeoName","Territory1","Sovereign1","ISO_Ter1","Area_km2","EconomicVulnerability","DependMarineResource","Education","Tourism","Corruption","ChallengeIndex","OpportunityIndex","CLI","Nospecies","CR","EN","VU","Threatened","rest"
"Mozambican Exclusive Economic Zone","Mozambique","Mozambique","MOZ",566107.319809,38.14663696,1.62018490633992,0.369,8.79254,-25,1.26752,-0.6979,-2.19,112,2,6,29,37,75
"Myanmar Exclusive Economic Zone","Myanmar","Myanmar","MMR",497442.180134,32.05197144,1.89495137763609,0.41,6.64608,-30,0.89847,-0.71997,-1.81,93,5,5,31,41,52
"Namibian Exclusive Economic Zone","Namibia","Namibia","NAM",562210.160942,35.29615402,3.43767176510526,0.546,13.8126,-51,0.24107,0.55706,-0.41,104,4,2,16,22,82
"Nauruan Exclusive Economic Zone","Nauru","Nauru","NRU",309260.512828,67.84747314,0.865041098278871,NA,NA,NA,NA,NA,NA,21,0,0,10,10,11
"Dutch Exclusive Economic Zone","Netherlands","Netherlands","NLD",64444.3368919,NA,0.0710608337722549,0.897,5.18464,-82,NA,NA,3.1,27,1,0,7,8,19
"New Zealand Exclusive Economic Zone","New Zealand","New Zealand","NZL",4104579.03432,NA,0.441058863123299,0.917,17.9282,-89,NA,NA,2.62,92,0,1,15,16,76
"Nicaraguan Exclusive Economic Zone","Nicaragua","Nicaragua","NIC",228251.857132,28.33724976,0.784743138390274,0.542,12.6912,-26,0.31164,-0.66385,-0.84,109,2,2,12,16,93
"Nigerian Exclusive Economic Zone","Nigeria","Nigeria","NGA",179050.962041,34.20332336,0.255979503367826,0.477,5.08019,-27,0.63006,-0.90339,-2.81,89,4,7,21,32,57
"North Korean Exclusive Economic Zone","North Korea","North Korea","PRK",114165.514473,12.3229084,NA,NA,NA,-17,NA,NA,NA,55,0,1,18,19,36
"Joint regime area Sweden / Norway","Norway","Norway","NOR",139.943003003,NA,0.978352705666398,0.916,9.03166,-85,NA,NA,3.23,0,0,0,0,0,0
"Norwegian Exclusive Economic Zone","Norway","Norway","NOR",933667.554218,NA,0.978352705666398,0.916,9.03166,-85,NA,NA,3.23,34,1,1,8,10,24
"Omani Exclusive Economic Zone","Oman","Oman","OMN",556485.906171,24.85081482,0.884401716478308,0.652,6.62437,-44,-0.49435,-0.33635,-1.71,81,2,4,24,30,51
"Pakistani Exclusive Economic Zone","Pakistan","Pakistan","PAK",224387.832462,21.90554428,0.465520474194861,0.395,7.37231,-32,0.4632,-1.08496,-2.15,80,4,4,26,34,46
"Palau Exclusive Economic Zone","Palau","Palau","PLW",614805.248533,68.67785645,4.58044840525608,0.808,1,NA,NA,NA,0.2,29,0,1,14,15,14
"Disputed area: Palestinian Exclusive Economic Zone","Palestine","Palestine","PSE",2329.73147998,NA,0.109931394226636,0.655,NA,NA,NA,NA,NA,46,1,4,16,21,25
"Panamanian Exclusive Economic Zone","Panama","Panama","PAN",331242.370352,25.18977928,0.193324514044479,0.691,14.4696,-37,-0.5655,-0.25741,0.18,111,3,2,15,20,91
"Protected Zone established under the Torres Strait Treaty","Papua New Guinea","Papua New Guinea","PNG",3716.58035339,31.66812134,1.64844477504861,0.419,1.83727,-29,0.87188,-0.9526,-1.57,73,3,4,25,32,41
