"ScientificName","CommonName","order_name","family_nam","code","id_no","web_redlist","assessment_redlist","web_fishbase"
"Apristurus macrostomus","Broadmouth cat shark, Broadmouth catshark, Breedbekkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44219,"http://www.iucnredlist.org/details/classify/44219/0","http://www.iucnredlist.org/pdflink.44219","http://www.fishbase.org/summary/Apristurus-macrostomus.html"
"Apristurus manis","Geister-Tiefwasserkatzenhai, Ghost cat shark, ghost catshark, Pejegato fantasma, Spookkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",44599,"http://www.iucnredlist.org/details/classify/44599/0","http://www.iucnredlist.org/pdflink.44599","http://www.fishbase.org/summary/Apristurus-manis.html"
"Apristurus melanoasper","","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",42700,"http://www.iucnredlist.org/details/classify/42700/0","http://www.iucnredlist.org/pdflink.42700","http://www.fishbase.org/summary/Apristurus-melanoasper.html"
"Apristurus microps","Kleinaugen-Tiefwasserkatzenhai, Smalleye cat shark, smalleye catshark, Pejegato puerco, Holbiche porc, Kleinoogkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",44657,"http://www.iucnredlist.org/details/classify/44657/0","http://www.iucnredlist.org/pdflink.44657","http://www.fishbase.org/summary/Apristurus-microps.html"
"Apristurus micropterygeus","Smalldorsal cat shark, Smalldorsal catshark, Smalrugkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44220,"http://www.iucnredlist.org/details/classify/44220/0","http://www.iucnredlist.org/pdflink.44220","http://www.fishbase.org/summary/Apristurus-micropterygeus.html"
"Apristurus nasutus","Grossnasenkatzenhai, Largenose cat shark, largenose catshark, Holbiche cyrano, Grootsnuitkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44573,"http://www.iucnredlist.org/details/classify/44573/0","http://www.iucnredlist.org/pdflink.44573","http://www.fishbase.org/summary/Apristurus-nasutus.html"
"Apristurus parvipinnis","Smallfin cat shark, smallfin catshark, Pejegato mocho, Holbiche petites ailes, Karibu-herazame, Kleinvinkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44221,"http://www.iucnredlist.org/details/classify/44221/0","http://www.iucnredlist.org/pdflink.44221","http://www.fishbase.org/summary/Apristurus-parvipinnis.html"
"Apristurus pinguis","Fat catshark, Bulldog catshark, Vette kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",44222,"http://www.iucnredlist.org/details/classify/44222/0","http://www.iucnredlist.org/pdflink.44222","http://www.fishbase.org/summary/Apristurus-pinguis.html"
"Apristurus platyrhynchus","Flatnose cat shark, Bigfin catshark, Borneo cat shark, Flatnose catshark, Spatula catshark, Spatulasnout cat shark, borneo catshark, spatulasnout catshark, Pejegato espatulado, Pejegato de Borneo, Holbiche spatule, Holbiche malaise, Holbiche spatula, Herazame, Vlaksnuitkathaai, Borneokathaai, Spatelsnuitkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",44223,"http://www.iucnredlist.org/details/classify/44223/0","http://www.iucnredlist.org/pdflink.44223","http://www.fishbase.org/summary/Apristurus-platyrhynchus.html"
"Apristurus profundorum","Deepwater cat shark, Deep-water catshark, deepsea cat shark, deepwater catshark, Pejegato abisal, Holbiche papoila, Rosette de profondeur, Aki-herazame, Diepwaterkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44224,"http://www.iucnredlist.org/details/classify/44224/0","http://www.iucnredlist.org/pdflink.44224","http://www.fishbase.org/summary/Apristurus-profundorum.html"
"Apristurus riveri","Broadgill cat shark, broadgill catshark, Gatica afilada, Holbiche grandes oreilles, Breedkieuwkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44639,"http://www.iucnredlist.org/details/classify/44639/0","http://www.iucnredlist.org/pdflink.44639","http://www.fishbase.org/summary/Apristurus-riveri.html"
"Apristurus saldanha","Saldanha catshark, Saldanha cat shark, Holbiche gatussau, Saldanhakathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","LC",44602,"http://www.iucnredlist.org/details/classify/44602/0","http://www.iucnredlist.org/pdflink.44602","http://www.fishbase.org/summary/Apristurus-saldanha.html"
"Apristurus sibogae","pale catshark, Pale cat shark, Pale catshark pale catshark, Pejegato paliducho, Bleke kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",161672,"http://www.iucnredlist.org/details/classify/161672/0","http://www.iucnredlist.org/pdflink.161672","http://www.fishbase.org/summary/Apristurus-sibogae.html"
"Apristurus sinensis","South China cat shark, freckled catshark, south china catshark, Pejegato chino, Holbiche chuhu, Holbiche chuchu, Zuid-chinese kathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44225,"http://www.iucnredlist.org/details/classify/44225/0","http://www.iucnredlist.org/pdflink.44225","http://www.fishbase.org/summary/Apristurus-sinensis.html"
"Apristurus spongiceps","Spongehead cat shark, spongehead catshark, Pejegato esponjoso, Pejegato esponjosa, Sponshoofdkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44226,"http://www.iucnredlist.org/details/classify/44226/0","http://www.iucnredlist.org/pdflink.44226","http://www.fishbase.org/summary/Apristurus-spongiceps.html"
"Apristurus stenseni","Panama ghost catshark, Panama ghost cat shark, Pejegato panameo, Panamaspookkathaai","CARCHARHINIFORMES","SCYLIORHINIDAE","DD",44574,"http://www.iucnredlist.org/details/classify/44574/0","http://www.iucnredlist.org/pdflink.44574","http://www.fishbase.org/summary/Apristurus-stenseni.html"
"Aptychotrema rostrata","Geigenrochen, Eastern shovelnose ray, Australian shovelnose ray, Banjo fish, Banks shovelnose ray, Common shovelnosed ray, East Australian shovelnose ray, Eragoni, Guitarfish, Long-snout shovelnose ray, Long-snouted shovelnose ray, Short-snouted shovelnose ray, Shovelnose ray, Shovelnose shark, Southern shovelnose ray, Nokkakitararausku, Oostelijke gitaarrog","RAJIFORMES","RHINOBATIDAE","LC",161596,"http://www.iucnredlist.org/details/classify/161596/0","http://www.iucnredlist.org/pdflink.161596","http://www.fishbase.org/summary/Aptychotrema-rostrata.html"
"Aptychotrema timorensis","","RAJIFORMES","RHINOBATIDAE","VU",60179,"http://www.iucnredlist.org/details/classify/60179/0","http://www.iucnredlist.org/pdflink.60179","http://www.fishbase.org/summary/Aptychotrema-timorensis.html"
